datetime,aqi_label,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature_C,humidity_%,rain_mm,wind_speed_kmh
2022-04-01 00:00:00,1.0,534.06,1.22,16.96,6.62,11.56,9.72,17.65,3.67,24.8,91.0,3.7,7.3
2022-04-01 01:00:00,1.0,587.46,1.79,19.02,8.58,12.16,9.03,17.42,3.13,24.5,91.0,2.6,7.1
2022-04-01 02:00:00,1.0,587.46,1.68,18.85,12.34,11.56,8.7,17.56,2.72,24.2,92.0,3.2,7.8
2022-04-01 03:00:00,1.0,527.38,1.26,17.65,19.31,10.85,8.26,16.77,2.28,24.1,94.0,0.7,7.9
2022-04-01 04:00:00,1.0,423.91,1.48,14.57,37.91,8.23,5.97,11.41,1.55,24.4,92.0,0.3,10.2
2022-04-01 05:00:00,1.0,387.19,1.41,10.8,62.94,6.44,5.58,9.69,1.36,24.2,92.0,0.1,11.4
2022-04-01 06:00:00,1.0,380.52,1.1,7.71,79.39,5.01,6.42,9.55,1.19,24.2,93.0,0.2,8.9
2022-04-01 07:00:00,2.0,387.19,1.03,7.28,83.68,5.01,7.56,10.26,1.11,24.9,91.0,0.3,8.5
2022-04-01 08:00:00,1.0,397.21,1.1,9.0,72.24,5.36,7.38,10.16,1.14,26.0,88.0,0.3,10.2
2022-04-01 09:00:00,1.0,410.56,0.87,10.62,61.51,5.42,6.79,9.61,1.19,26.0,83.0,1.6,13.0
2022-04-01 10:00:00,1.0,554.08,0.64,16.28,48.64,7.03,8.27,12.83,2.03,26.6,86.0,1.5,13.0
2022-04-01 11:00:00,2.0,747.68,0.15,22.62,36.12,8.94,10.88,18.21,2.91,26.4,84.0,0.6,14.8
2022-04-01 12:00:00,2.0,867.84,0.01,26.05,29.68,10.85,14.17,24.77,3.7,27.1,81.0,0.3,15.8
2022-04-01 13:00:00,2.0,807.76,0.01,23.65,30.76,10.37,14.96,28.85,4.12,29.2,76.0,0.4,18.4
2022-04-01 14:00:00,2.0,667.57,0.01,19.02,31.83,9.3,13.34,28.31,3.99,29.5,73.0,0.1,20.1
2022-04-01 15:00:00,2.0,587.46,0.01,16.62,30.04,8.82,12.02,26.78,3.86,29.1,74.0,1.6,18.9
2022-04-01 16:00:00,2.0,574.11,0.03,16.11,25.75,8.23,11.27,25.72,3.86,27.2,82.0,3.8,12.9
2022-04-01 17:00:00,2.0,560.76,0.07,15.59,20.03,7.03,10.55,23.87,3.93,26.6,79.0,2.3,15.0
2022-04-01 18:00:00,2.0,487.33,0.07,12.17,17.34,5.42,9.82,20.98,4.24,26.4,84.0,0.2,9.2
2022-04-01 19:00:00,2.0,460.62,0.14,10.97,13.41,5.25,10.75,21.35,5.13,26.9,87.0,0.2,8.4
2022-04-01 20:00:00,2.0,460.62,0.3,10.8,9.12,5.42,12.03,23.11,5.89,26.5,87.0,0.0,9.4
2022-04-01 21:00:00,2.0,453.95,0.54,10.28,6.17,5.48,12.81,24.24,6.46,26.1,88.0,0.0,9.7
2022-04-01 22:00:00,2.0,447.27,0.84,9.68,4.56,5.42,12.79,24.0,6.33,25.9,90.0,0.0,7.7
2022-04-01 23:00:00,2.0,473.98,1.26,10.37,3.49,6.14,13.02,23.97,5.32,25.6,91.0,0.0,7.4
2022-04-02 00:00:00,2.0,580.79,2.85,12.34,3.93,8.46,14.29,25.88,4.62,25.5,92.0,0.0,8.5
2022-04-02 01:00:00,2.0,514.03,1.9,11.65,9.3,8.94,10.9,18.38,3.1,25.2,92.0,0.0,9.9
2022-04-02 02:00:00,1.0,507.35,1.66,11.14,13.59,8.58,9.87,16.43,3.1,25.0,93.0,0.0,8.4
2022-04-02 03:00:00,1.0,467.3,1.12,9.94,25.39,8.11,8.81,14.72,3.23,24.9,93.0,0.0,7.4
2022-04-02 04:00:00,1.0,387.19,0.54,6.85,34.33,5.66,5.38,8.92,2.22,24.8,94.0,0.0,8.4
2022-04-02 05:00:00,1.0,357.15,0.43,6.08,37.19,4.77,3.55,6.23,1.8,24.9,93.0,0.0,8.7
2022-04-02 06:00:00,1.0,337.12,0.39,5.65,41.13,4.11,2.84,5.21,1.61,24.9,93.0,0.0,8.3
2022-04-02 07:00:00,1.0,330.45,0.53,6.08,48.64,4.35,2.97,5.42,1.49,26.2,86.0,0.0,9.7
2022-04-02 08:00:00,1.0,320.43,0.66,5.57,59.37,4.29,3.54,6.16,1.41,27.4,81.0,0.0,13.0
2022-04-02 09:00:00,1.0,310.42,0.71,4.88,62.94,3.93,3.94,6.6,1.36,28.8,75.0,0.1,15.1
2022-04-02 10:00:00,1.0,520.71,1.69,11.48,50.07,5.54,6.72,12.29,3.39,29.9,69.0,0.2,14.8
2022-04-02 11:00:00,2.0,947.95,1.58,27.08,23.25,9.3,12.67,24.05,6.27,30.5,66.0,0.2,13.3
2022-04-02 12:00:00,3.0,1388.55,3.91,38.39,3.17,14.31,22.94,42.41,8.23,31.2,64.0,0.1,13.4
2022-04-02 13:00:00,4.0,1548.77,7.82,38.39,0.43,18.36,32.52,60.08,9.25,31.7,62.0,0.0,14.7
2022-04-02 14:00:00,4.0,1428.6,6.93,38.04,0.4,20.5,37.62,66.65,7.98,31.6,61.0,0.1,16.3
2022-04-02 15:00:00,4.0,1348.5,6.31,40.1,0.41,22.41,42.0,65.64,6.78,31.5,60.0,0.0,16.5
2022-04-02 16:00:00,4.0,1174.93,4.69,35.99,0.57,21.22,38.37,53.64,5.76,31.0,61.0,0.0,15.3
2022-04-02 17:00:00,4.0,988.01,3.44,28.1,0.68,17.4,30.95,41.13,4.88,29.8,66.0,0.0,14.8
2022-04-02 18:00:00,4.0,827.79,2.63,23.31,0.77,15.74,25.35,32.71,4.5,27.7,79.0,0.6,6.9
2022-04-02 19:00:00,3.0,761.03,2.57,22.96,0.76,17.17,24.45,30.58,4.62,27.9,78.0,1.0,12.2
